signal_date,ticker,stage,entry_price,ret_1d,ret_5d,ret_20d,computed_at
2026-05-23,SINI,stage3,9300.0,0.0995,,,2026-05-26T10:36:47
2026-05-23,BUVA,stage3,720.0,-0.1528,,,2026-05-26T10:36:47
2026-05-23,MDKA,stage3,2720.0,0.0074,,,2026-05-26T10:36:47
2026-05-23,AMMN,stage3,2900.0,0.0966,,,2026-05-26T10:36:47
2026-05-23,BREN,stage3,2450.0,0.0204,,,2026-05-26T10:36:47
2026-05-25,BUVA,stage3,700.0,-0.1286,,,2026-05-26T10:36:47
2026-05-25,AMMN,stage3,3120.0,0.0192,,,2026-05-26T10:36:47
2026-05-25,BREN,stage3,2390.0,0.046,,,2026-05-26T10:36:47
2026-05-25,WBSA,stage3,785.0,0.0127,,,2026-05-26T10:36:47
2026-05-25,KIJA,stage3,124.0,-0.0081,,,2026-05-26T10:36:47
2026-05-25,INKP,stage3,7900.0,-0.019,,,2026-05-26T10:36:47
2026-05-25,TPIA,stage3,1780.0,0.0506,,,2026-05-26T10:36:47
2026-05-26,BUVA,stage3,610.0,0.0,,,2026-05-29T06:02:21
2026-05-26,AMMN,stage3,3120.0,-0.0032,,,2026-05-29T06:02:21
2026-05-26,GTSI,stage3,160.0,-0.0125,,,2026-05-29T06:02:21
2026-05-26,BREN,stage3,2600.0,0.0154,,,2026-05-29T06:02:21
2026-05-26,INDY,stage3,2350.0,0.0043,,,2026-05-29T06:02:21
2026-05-26,CBDK,stage3,3930.0,0.0,,,2026-05-29T06:02:21
2026-05-26,CUAN,stage3,505.0,0.0,,,2026-05-29T06:02:21
2026-05-28,BUVA,stage3,610.0,0.1967,,,2026-05-29T06:02:21
2026-05-28,AMMN,stage3,3110.0,0.0322,,,2026-05-29T06:02:21
2026-05-28,BREN,stage3,2640.0,0.25,,,2026-05-29T06:02:21
2026-05-28,INKP,stage3,7775.0,0.0032,,,2026-05-29T06:02:21
2026-05-28,SINI,stage3,11225.0,0.098,,,2026-05-29T09:53:45
2026-05-29,CUAN,stage3,505.0,0.5545,,,2026-06-02T05:18:57
2026-05-29,BREN,stage3,2640.0,0.5114,,,2026-06-02T05:18:57
2026-05-29,GTSI,stage3,158.0,-0.0316,,,2026-06-02T05:18:57
2026-05-29,CBDK,stage3,3930.0,-0.0178,,,2026-06-02T05:18:57
2026-05-29,INDY,stage3,2360.0,-0.0466,,,2026-06-02T05:18:57
2026-05-29,NICL,stage3,545.0,0.0367,,,2026-06-02T05:18:57
2026-05-29,BKSL,stage3,75.0,0.0267,,,2026-06-02T05:18:57
2026-06-02,BRPT,stage3,1920.0,-0.0417,,,2026-06-03T05:21:34
2026-06-02,MINA,stage3,336.0,-0.0298,,,2026-06-03T05:21:34
2026-06-02,TAPG,stage3,1540.0,-0.013,,,2026-06-03T05:21:34
2026-06-02,GTSI,stage3,141.0,-0.0709,,,2026-06-03T05:21:34
2026-06-02,BRMS,stage3,580.0,-0.0345,,,2026-06-03T05:21:34
2026-06-02,INKP,stage3,7750.0,-0.0194,,,2026-06-03T05:21:34
2026-06-03,ZATA,stage3,54.0,0.1111,,,2026-06-04T05:23:57
2026-06-03,BRMS,stage3,515.0,-0.0194,,,2026-06-04T05:23:57
2026-06-03,CBDK,stage3,3600.0,-0.0361,,,2026-06-04T05:23:57
2026-06-03,TPIA,stage3,1615.0,-0.0774,,,2026-06-04T05:23:57
2026-06-03,INDY,stage3,1955.0,-0.0205,,,2026-06-04T05:23:57
2026-06-03,PANI,stage3,6725.0,-0.0074,,,2026-06-04T05:23:57
2026-06-03,ADMR,stage3,1330.0,0.0263,,,2026-06-04T05:23:57
2026-06-04,WIFI,stage3,1700.0,-0.0206,,,2026-06-05T05:19:40
2026-06-04,BRMS,stage3,525.0,0.0571,,,2026-06-05T05:19:40
2026-06-04,CBDK,stage3,3540.0,-0.0169,,,2026-06-05T05:19:40
2026-06-04,TPIA,stage3,1375.0,0.2364,,,2026-06-05T05:19:40
2026-06-04,INDY,stage3,1990.0,0.005,,,2026-06-05T05:19:40
2026-06-04,INKP,stage3,7050.0,-0.0177,,,2026-06-05T05:19:40
2026-06-04,MBMA,stage3,426.0,0.0376,,,2026-06-05T05:19:40
2026-06-05,WIFI,stage3,1445.0,-0.0657,,,2026-06-08T05:20:43
2026-06-05,BRMS,stage3,515.0,-0.1068,,,2026-06-08T05:20:43
2026-06-05,TPIA,stage3,1385.0,-0.0289,,,2026-06-08T05:20:43
2026-06-05,INKP,stage3,6700.0,-0.0448,,,2026-06-08T05:20:43
2026-06-05,INDY,stage3,2050.0,-0.0927,,,2026-06-08T05:20:43
2026-06-05,ASHA,stage3,52.0,-0.0385,,,2026-06-08T05:20:43
2026-06-05,NICL,stage3,452.0,-0.0885,,,2026-06-08T05:20:43
2026-06-09,GTSI,stage3,117.0,0.0342,,,2026-06-10T05:18:11
2026-06-09,WIFI,stage3,1500.0,0.04,,,2026-06-10T05:18:11
2026-06-09,NICL,stage3,505.0,0.0,,,2026-06-10T05:18:11
2026-06-09,BRMS,stage3,510.0,0.0,,,2026-06-10T05:18:11
2026-06-09,SMDR,stage3,266.0,0.015,,,2026-06-10T05:18:11
2026-06-09,APLN,stage3,121.0,0.0248,,,2026-06-10T05:18:11
2026-06-09,INDY,stage3,2030.0,0.0099,,,2026-06-10T05:18:11
2026-06-10,CBDK,stage3,3350.0,-0.0149,,,2026-06-11T05:21:05
